发表年份,数据收集年份,国家,研究类型,研究对象,样本量,推荐补充剂量/用法,作用机理,证据等级,结论摘要,标题,PMID
2016,需查阅全文,Australia angelicaquatela@uoneduau,Meta-Analysis,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,Level 1,"This systematic review investigated the effects of differing energy intakes, macronutrient compositions, and eating patterns of meals consumed after an overnight fast on Diet Induced Thermogenesis (DIT). The initial search identified 2482 records; 26 papers remained once duplicates were removed and inclusion criteria were applied. Studies (<i>n</i> = 27) in the analyses were randomized crossover designs comparing the effects of two or more eating events on DIT. Higher energy intake increased DIT; in a mixed model meta-regression, for every 100 kJ increase in energy intake, DIT increased by 1.1 kJ/h (<i>p</i> < 0.001). Meals with a high protein or carbohydrate content had a higher DIT than high fat, although this effect was not always significant. Meals with medium chain triglycerides had a significantly higher DIT than long chain triglycerides (meta-analysis, <i>p</i> = 0.002). Consuming the same meal as a single bolus eating event compared to multiple small meals or snacks was associated with a significantly higher DIT (meta-analysis, <i>p</i> = 0.02). Unclear or inconsistent findings were found by comparing the consumption of meals quickly or slowly, and palatability was not significantly associated with DIT. These findings indicate that the magnitude of the increase in DIT is influenced by the energy intake, macronutrient composition, and eating pattern of the meal.","The Energy Content and Composition of Meals Consumed after an Overnight Fast and Their Effects on Diet Induced Thermogenesis: A Systematic Review, Meta-Analyses and Meta-Regressions.",27792142
2001,需查阅全文,Sweden mpab@algonetse,RCT,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,Level 2,"Medium chain triglycerides (MCT) are energetically less dense, highly ketogenic, and more easily oxidised than long chain triglycerides (LCT). MCT also differ from LCT in their digestive and metabolic pathways. To test the effects of MCT supplementation during a very low calorie diet (VLCD). Three groups of tightly matched obese women with body mass index (BMI)>30 kg/m(2) received an isoenergetic (578.5 kcal) VLCD (Adinax, Novo Vital, Sweden) enriched with MCT or LCT (8.0 and 9.9 g/100 g Adinax respectively) or a low-fat (3 g/100 g) and high-carbohydrate regimen. The diets were administered over 4 weeks. Body composition was measured with DEXA and appetite/satiety-according to Blundell. Beta hydroxybutyric acid concentration in plasma and nitrogen excretion in urine was measured during consecutive days of VLCD. The study was performed in a randomised double-blind manner. The MCT group showed a significantly greater decrease in body weight during the first 2 weeks. The contribution of body fat to the total weight loss was higher while the contribution of fat-free mass (FFM) was lower. The MCT group had a higher concentration of ketone bodies in plasma and a lower nitrogen excretion in urine. Hunger feelings were less intense while satiety was higher. These differences were observed during the first 2 weeks of treatment and gradually declined during the third and fourth weeks. Replacement of LCT by MCT in the VLCD increased the rate of decrease of body fat and body weight and has a sparing effect on FFM. The intensity of hunger feelings was lower and paralleled the higher increase of ketone bodies. These effects gradually declined, indicating subsequent metabolic adaptation. Further studies are required to confirm the protein-sparing and appetite-suppressing effects of MCT supplementation during the first 2 weeks of VLCD treatment.",Value of VLCD supplementation with medium chain triglycerides.,11571605
2010,需查阅全文,New Zealand spoppitt@aucklandacnz,RCT,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,Level 2,"High-fat diets are associated with obesity, and the weak satiety response elicited in response to dietary lipids is likely to play a role. Preliminary evidence from studies of medium (MCT) and long chain triglycerides (LCT) supports greater appetite suppression on high-MCT diets, possibly a consequence of direct portal access, more rapid oxidation and muted lipaemia. No data is as yet available on high-SCT diets which also have direct hepatic access. In this study SCT- (dairy fats), MCT- (coconut oil) and LCT-enriched (beef tallow) test breakfasts (3.3 MJ) containing 52 g lipid (58 en% fat) were investigated in a randomized, cross-over study in 18 lean men. All participants were required to complete the 3 study days in randomised order. Participants rated appetite sensations using visual analogue scales (VAS), and energy intake (EI) was measured by covert weighing of an ad libitum lunch meal 3.5 h postprandially. Blood samples were collected by venous cannulation. There were no detectable differences between breakfasts in perceived pleasantness, visual appearance, smell, taste, aftertaste and palatability (P>0.05). There was no significant effect of fatty acid chain length on ratings of hunger, fullness, satisfaction or current thoughts of food, nor did energy (mean, sem: SCT: 4406, 366 kJ; MCT: 4422, 306 kJ; LCT: 4490, 324 kJ; P>0.05) or macronutrient intake at lunch differ between diets. The maximum difference in EI between diets was less than 2%. Postprandial lipaemia also did not differ significantly. We conclude that there was no evidence that fatty acid chain length has an effect on measures of appetite and food intake when assessed following a single high-fat test meal in lean participants.","Fatty acid chain length, postprandial satiety and food intake in lean men.",20451538
2012,需查阅全文,HZweers-vanEssen@mdlumcnnl,Journal Article,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"Patients with long-chain fatty acid oxidation defect (LCFAOD) cannot tolerate fasting and are restricted in their physical activity, hence their increased risk of obesity. Experts therefore advise avoidance of catabolic situations and discourage weight reduction in these patients.Two patients with late-diagnosed LCFAOD undergoing treatment at two academic centers successfully lost weight under supervision of a metabolic dietitian. Patient 1 (male, 47 years) diagnosed with CPT 2 deficiency lost 10 kg body weight in a 3-month period with the help of an energy and LCT-restricted, MCT- and carbohydrate-rich diet in combination with an exercise program. CK levels, C16, C18, and C18:1 levels of his acylcarnitine profile and his blood pressure decreased during the period of weight reduction. Patient 2 (male, 39 years) has a VLCAD deficiency. Dietary advice was energy and LCT restriction, MCT and carbohydrate-enriched food with raw cornstarch added during the night. Patient 2 lost almost 40 kg body weight to 87.6 kg (BMI 25.1) in 2 years. CK, insulin, TG, and ALAT blood levels decreased. Weight reduction without loss of metabolic control seems possible in late-onset LCFAOD patients. No metabolic crisis occurred in these two patients, while the positive effects of weight reduction were clear. The residual enzyme function in late-onset LCFAOD may be one of the reasons that metabolic decompensation was prevented. In addition, dietary adjustments to prevent excessive fatty acid oxidation likely contributed as well. Therefore, expert supervision by a dietician specialized in metabolic diseases is recommended. Concise SentenceContrary to the current literature, weight loss in patients with late-diagnosed LCFAOD can be successful. A description of two FOAD patients who lost weight without encountering negative side effects at two academic centers is given.",Successful weight loss in two adult patients diagnosed with late-onset long-chain Fatty Acid oxidation defect.,23430950
2017,需查阅全文,Czech Republic,Journal Article,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"Obesity is a multifactorial disease. This non-infectious epidemic has reached pandemic proportions in the 21 century. Posture is a dynamic process referring to an active maintenance of body movement segments against the action of external forces. The aim of the study was to investigate the effect of comprehensive group therapy for obese persons on selected anthropometric and postural parameters. The study comprised 53 females with a mean age of 44.5 years (range 29–65 years, standard deviation 9.42 years, median 44 years), who completed a controlled weight loss programme. At the beginning and at the end of the programme, anthropometric parameters (Body Mass Index (BMI), weight and waist circumference) were measured and the posturography tests Limits of Stability (LOS) and Motor Control Test (MCT) were performed using the NeuroCom's SMART EquiTest system. The data were statistically analyzed using R software at a level of significance of 0.05. There were positive changes after the controlled weight loss programme in anthropometric parameters (BMI reduction, with p<0.001; waist circumference reduction, with p<0.001; and weight loss, with p<0.001), postural stability with statistically significant (p<0.05) improvements in both postural activity (LOS test parameters) and reactions (MCT parameters). The study showed a statistically significant effect of comprehensive group therapy for obesity in terms of reductions in waist circumference, body weight and BMI, and thus the overall reduction of both cardiovascular and metabolic risks, as well as improved postural skills (activity and reactions).",Comprehensive Group Therapy of Obesity and Its Impact on Selected Anthropometric and Postural Parameters.,29346858
1989,需查阅全文,Denver,"Clinical Trial, Controlled Clinical Trial, Journal Article, Research Support, Non-U.S. Gov'T, Research Support, U.S. Gov'T, P.H.S.",需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"Medium-chain (MCT) and long-chain (LCT) triglyceride diets were compared during and after 4 or 12 wk of hypocaloric feeding in obese women to determine the effects on weight loss, ketones, nitrogen balance, and insulin action. After a base-line euglycemic clamp, two groups ingested an 800-kcal/d liquid diet with 30% of calories as LCT (group 1) or 6% of calories as LCT and 24% as MCT (group 2). Rate and amount of weight loss, serum ketones, and N balance were not different between groups. However, the subjects in group 2 (MCT) demonstrated an increase in glucose requirement to maintain euglycemia during the clamp after weight loss (delta 0.18 +/- 0.13 mmol.m-2.min-1) whereas subjects in group 1 (LCT) had a diminished requirement (delta -0.12 +/- 0.10, p = 0.036). Thus, an 800-kcal diet containing 24% of calories as MCT is safe and enhances insulin action but fails to increase the rate or amount of weight loss.",Hypocaloric feeding in obese women: metabolic effects of medium-chain triglyceride substitution.,2916452
2019,需查阅全文,India,"Comparative Study, Journal Article, Research Support, Non-U.S. Gov'T",需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"The existing scientific evidence on coconut oil consumption and its health effects remains inconclusive due to varied reasons. In this context, we conducted a well-controlled metabolic study, eliminating some of the confounding factors and assessed the effects of the consumption of coconut oil-based diet on various anthropometric, biochemical and inflammatory markers and compared with peanut oil-diet. Nine healthy male volunteers with BMI ≤25 kg/m<sup>2</sup> were enrolled for this study and given balanced diets prepared with coconut oil (CO; ~35 g) for a period of eight weeks. After a wash-out period of six weeks, the same subjects were provided with diets prepared with peanut oil (~35 g) for eight weeks. Except fat source, the composition of the diets was identical in all aspects. Compared to basal values, there were significant increases in fat-free mass (p ≤ 0.022), plasma HDL-cholesterol (HDL-C) (p ≤ 0.047) and insulin sensitivity of the subjects at the end of CO-consumption. Further, compared to peanut oil, increase in plasma HDL-C was significant (p = 0.004) in CO treatment. On the other hand, plasma inflammatory markers-associated with cardiovascular diseases (CVD), namely soluble vascular cell adhesion molecule 1 (sVCAM1) and matrix metalloproteinase levels were reduced significantly by CO-intake. Further, these subjects displayed elevated levels of myristic acid (14:0) in plasma phospholipids at the end of CO-consumption, which correlated positively with HDL-C and negatively with sVCAM1. However, no such changes were observed after peanut oil diet consumption. In conclusion, compared to peanut oil, the consumption of coconut oil in a balanced diet resulted in increased fat-free mass, plasma HDL-C, elicited favourable changes on insulin sensitivity and CVD risk-associated parameters in healthy men with normal BMI.","Coconut oil consumption improves fat-free mass, plasma HDL-cholesterol and insulin sensitivity in healthy men with normal BMI compared to peanut oil.",30630708
2017,需查阅全文,The Netherlands bertvandeheijning@danonecom,Journal Article,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"Medium-chain fatty acids (MCFA) are a directly and readily absorbed source of energy. Exposure early-in-life to increased MCFA levels might affect development and impact (lipid) metabolism later in life. We tested whether an increased MCFA intake early-in-life positively affects adult body composition and metabolic status when challenged by a western-style diet (WSD). Male offspring of C57Bl/6j mice and Wistar rats were fed a control diet (CTRL; 10 w% fat, 14% MCFA) or a medium-chain triglycerides (MCT) diet with 20% MCFA until postnatal (PN) day 42, whereupon animals were fed a WSD (10 w% fat) until PN day 98. Body composition was monitored by Dual Energy X-ray Absorptiometry (DEXA). In rats, glucose homeostasis was assessed by glucose tolerance test (GTT) and insulin tolerance test (ITT); in mice, the HOmeostasis Model Assessment of Insulin Resistance (HOMA-IR) was calculated. At autopsy on PN day 98, plasma lipid profiles, glucose, insulin, and adipokines were measured; organs and fat pads were collected and the adipocyte size distribution was analysed. Milk analysis in mice showed that the maternal MCT diet was not translated into milk, and pups were thus only exposed to high MCT levels from early weaning onward: PN day 16 until 42. Mice exposed to MCT showed 28% less fat accumulation vs. CTRL during WSD. The average adipocyte cell size, fasting plasma triglycerides (TG), and leptin levels were reduced in MCT mice. In rats, no effects were found on the adult body composition, but the adipocyte cell size distribution shifted towards smaller adipocytes. Particularly mice showed positive effects on glucose homeostasis and insulin sensitivity. Increased MCFA intake early-in-life protected against the detrimental effects of an obesogenic diet in adulthood.",An Increased Dietary Supply of Medium-Chain Fatty Acids during Early Weaning in Rodents Prevents Excessive Fat Accumulation in Adulthood.,28632178
2001,需查阅全文,The Netherlands ekovacs@hbunimaasnl,RCT,需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,Level 2,"The aim of this study was to assess the effects of 2 weeks of supplementation with (-)-hydroxycitrate (HCA) and HCA combined with medium-chain triglycerides (MCT) on satiety and energy intake. The experimental design consisted of three intervention periods of 2 weeks separated by washout periods of 2 or 6 weeks in a double-blind, placebo-controlled, randomized, and crossover design. Seven male and 14 female normal to moderately obese subjects (mean+/-S.D.; age, 43+/-10 years; body mass index, 27.6+/-2.0 kg/m(2)) participated in this study. Subjects consumed three self-selected meals and four isoenergetic snacks daily with either no supplementation (PLA), with 500 mg HCA (HCA), or 500 mg HCA and 3 g MCT (HCA+MCT). Each intervention period ended with a test day, consisting of a standardized breakfast and ad libitum a lunch and a dinner. There was a significant body weight (BW) loss during the 2 weeks of intervention (PLA, -0.5+/-0.3 kg, P<.05; HCA, -0.4+/-0.2 kg, P<.05; HCA+MCT, -0.7+/-0.2 kg, P<.01), but this reduction was not different between treatments. Twenty-four-hour energy intake (PLA, 8.1+/-0.3 MJ; HCA, 8.3+/-0.3 MJ; HCA+MCT, 8.4+/-0.3 MJ) and the area under the curve of the appetite-related parameters during the test day were similar for all treatments. Two weeks of supplementation with HCA and HCA combined with MCT did not result in increased satiety or decreased energy intake compared to placebo in subjects losing BW.",Effects of 2-week ingestion of (-)-hydroxycitrate and (-)-hydroxycitrate combined with medium-chain triglycerides on satiety and food intake.,11790414
2008,需查阅全文,France,"Controlled Clinical Trial, Journal Article, Research Support, Non-U.S. Gov'T",需阅读摘要,需人工确认,需阅读摘要,需阅读摘要,待定,"The effects of weight loss on skeletal muscle lactate transporter [monocarboxylate transporter (MCT)] expression in obese subjects were investigated to better understand how lactate transporter metabolism is regulated in insulin-resistant states. Ten obese subjects underwent non-macronutrient-specific energy restriction for 15 wk. Anthropometric measurements and a needle biopsy of the vastus lateralis muscle before and after the weight loss program were performed. Enzymatic activity, fiber type distribution, and skeletal muscle MCT protein expression were measured. Muscle from nonobese control subjects was used for comparison of MCT levels. The program induced a weight loss of 9.2 +/- 1.6 kg. Compared with controls, muscle from obese subjects showed a strong tendency (P = 0.06) for elevated MCT4 expression (+69%) before the weight loss program. MCT4 expression decreased (-7%) following weight loss to reach levels that were not statistically different from control levels. There were no differences in MCT1 expression between controls and obese subjects before and after weight loss. A highly predictive regression model (R2 = 0.93), including waist circumference, citrate synthase activity, and percentage of type 1 fibers, was found to explain the highly variable MCT1 response to weight loss in the obese group. Therefore, in obesity, MCT1 expression appears linked both to changes in oxidative parameters and to changes in visceral adipose tissue content. The strong tendency for elevated expression of muscle MCT4 could reflect the need to release greater amounts of muscle lactate in the obese state, a situation that would be normalized with weight loss as indicated by decreased MCT4 levels.",Effect of weight loss on lactate transporter expression in skeletal muscle of obese subjects.,18079261
